X,Y,item,device_id,device_id1,Desc_,UpdateDate,UpdateTime,link,Route,ImageName,VideoURL,ORG,latitude,longitude,Type,FID,VideoURL_HB,VideoURL_HD,REGION,RECORDED,COMMON_ID,FUNCTION,Column1
-10198018.29,5111134.905,,59527357,,IC - US 218 @ Melrose DMS (25),20251112,120440,,US 218,IC - US 218 @ Melrose DMS (25),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv25lb/playlist.m3u8,IADOT,41.666379,-91.610357,Iowa DOT,247431,,,Iowa City,Y,ICTV25,General,
-10089798.05,5083899.08,,59527360,,QC - I-280 @ MM 9.25 (51),20251112,120440,,I-280,QC - I-280 @ MM 9.25 (51),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/qctv51lb/playlist.m3u8,IADOT,41.483349,-90.638198,Iowa DOT,247434,,,Quad Cities,Y,QCTV51,General,
-10192983.31,5113922.513,,59527364,,WWD - I-80 W @ 1st Ave (73),20251112,120440,,I-80,WWD - I-80 W @ 1st Ave (73),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/wwdtv073lb/playlist.m3u8,IADOT,41.685083,-91.565127,Iowa DOT,247439,,,WWD,Y,WWDTV073,WWD,
-10164323.33,5110666.409,,59527368,,I-80 @ MM 256.7,20251112,120440,,I-80,I-80 @ MM 256.7,https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/80tv256lb/playlist.m3u8,IADOT,41.663235,-91.30767,Iowa DOT,247455,,,I-80,Y,80TV256,General,
-10108517.98,5135484.394,,59527383,,6EM - US 30 @ MM 298.5 (IWZ 3361),20251112,120440,,US 30,6EM - US 30 @ MM 298.5 (IWZ 3361),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/iwz3361lb/playlist.m3u8,IADOT,41.829573,-90.806362,Iowa DOT,247480,,,IWZ,Y,IWZ3361,IWZ,
-10204886.93,5147047.142,,59527397,,CR - I-380 @ 76th Ave (03),20251112,120440,,I-380,CR - I-380 @ 76th Ave (03),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv03lb/playlist.m3u8,IADOT,41.906923,-91.672059,Iowa DOT,247489,,,Cedar Rapids,Y,CRTV03,General,
-10216510.69,5157816.295,,59527398,,CR - IA 100 @ E Ave NW - MM 1.3 (59),20251112,120440,,IA 100,CR - IA 100 @ E Ave NW - MM 1.3 (59),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv59lb/playlist.m3u8,IADOT,41.97888,-91.776477,Iowa DOT,247490,,,Cedar Rapids,Y,CRTV59,General,
-10198965.29,5115315.428,,59527405,,IC - I-80 @ US 6 (40),20251112,120440,,I-80,IC - I-80 @ US 6 (40),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv40lb/playlist.m3u8,IADOT,41.694427,-91.618864,Iowa DOT,247503,,,Iowa City,Y,ICTV40,General,
-10217122.83,5155393.871,,59527406,,CR - US 30 @ IA 100 (22Q),20251112,120440,,US 30,CR - US 30 @ IA 100 (22Q),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/crtv22qlb/playlist.m3u8,IADOT,41.962701,-91.781976,Iowa DOT,247511,,,Cedar Rapids,Y,CRTV22Q,General,
-10197243.18,5150024.03,,59527408,,CR - US 30 @ Honey Grove Rd (32),20251112,120440,,US 30,CR - US 30 @ Honey Grove Rd (32),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv32lb/playlist.m3u8,IADOT,41.926822,-91.603394,Iowa DOT,247512,,,Cedar Rapids,Y,CRTV32,General,
-10195593.98,5163267.091,,59527370,,CR - IA 100 @ S 22nd St (46),20251112,120440,,IA 100,CR - IA 100 @ S 22nd St (46),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv46lb/playlist.m3u8,IADOT,42.01527,-91.588579,Iowa DOT,247518,,,Cedar Rapids,Y,CRTV46,General,
-10245275.53,5114152.813,,59527432,,I-80 @ MM 219,20251112,120440,,I-80,I-80 @ MM 219,https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/80TV219lb/playlist.m3u8,IADOT,41.686628,-92.034876,Iowa DOT,247524,,,I-80,Y,80TV219,General,
